PRODUTO;ANO;REGIÃO;ESTADO;PRODUTOR;UNIDADE;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
BIODIESEL;2006;REGIÃO NORTE;PARÁ;DVH CHEMICAL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;SÃO PAULO;FERTIBOM;m3;47,8;51,66;0;0;0;51,86;34,6;36;7,87;0;23,336;109,285;362,411
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;FIAGRIL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;SÃO PAULO;FRIGOL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUL;RIO GRANDE DO SUL;GRANOL (CACHOEIRA DO SUL);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;SÃO PAULO;GRANOL (CAMPINAS);m3;0;0;0;0;0;3709,2;0;2318,3;3999,474;4895,481;4839,44;672,803;20434,698
BIODIESEL;2006;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);m3;0;0;0;0;0;0;0;0;0;0;5580,845;4527,127;10107,972
BIODIESEL;2006;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO CENTRO-OESTE;MATO GROSSO;COFCO;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO NORDESTE;CEARÁ;NUTEC;m3;0;0;0;0;0;0;0;1,2;0,6;0,2;0;0;2
BIODIESEL;2006;REGIÃO SUL;RIO GRANDE DO SUL;OLEOPLAN;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;RIO DE JANEIRO;OLFAR;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUL;RIO GRANDE DO SUL;OLFAR;m3;0;0;0;0;0;0;0;0;0;;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;SÃO PAULO;ORLANDIA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO NORTE;RONDÔNIA;OURO VERDE;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO NORDESTE;CEARÁ;PETROBRAS (QUIXADA);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO NORDESTE;RIO GRANDE DO NORTE;PETROBRAS (GUAMARE);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO NORDESTE;BAHIA;PETROBRAS (CANDEIAS);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;MINAS GERAIS;PETROBRAS (MONTES CLAROS);m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUL;PARANÁ;POTENCIAL;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
BIODIESEL;2006;REGIÃO SUDESTE;SÃO PAULO;PRISMA;m3;0;0;0;0;0;0;0;0;0;0;0;0;0
